fsym_id,bbgid
DMX4QY-R,BBG000BC2C10
B8374S-R,BBG00B3T3HD3
K5JXTH-R,BBG00R2JZG39
CGLRBS-R,BBG000BSLLB3
FZXHM5-R,BBG000BQB7P4
H679XT-R,BBG00NNG2ZJ8
R71MZL-R,BBG000FH8PX5
SHRZF5-R,BBG000BFJT36
CY644B-R,BBG000BLZRJ2
FT8FQW-R,BBG000HS77T5
PD3HL5-R,BBG000BPWVX1
WPFS7S-R,BBG000K4ND22
M0C1P8-R,BBG000BV59Y6
D1P43P-R,BBG000BWJFZ4
S8ZPBT-R,BBG000BV8DN6
T1N9NF-R,BBG000RGM5P1
LD13C5-R,BBG000BNPSQ9
VBL38Y-R,BBG000BJX8C8
BGW3FR-R,BBG000BWTY64
S6JRNP-R,BBG000BPK1G9
TH8S8S-R,BBG000BBJQH6
VBCQMG-R,BBG009DTD8H2
GHT33G-R,BBG000CFWFR4
C5BGF5-R,BBG000F3F385
WL4J6T-R,BBG000BPQCQ8
RGZN5G-R,BBG000FLZN98
FBC521-R,BBG000C12NL7
KSVQWG-R,BBG000BNVNY4
BZNSC9-R,BBG000BK7SL0
D502G9-R,BBG000BB9KF2
KXCLHM-R,BBG000CWFQF5
KRTZ9N-R,BBG000H89QJ6
WNSC9M-R,BBG000C4CXD7
F1DNTM-R,BBG000BS73J1
BZT8YJ-R,BBG000BF8BH2
VR4SHN-R,BBG000DCGRL8
WFJYTJ-R,BBG009S3NB30
DHC1MJ-R,BBG000BGR5J0
PFFLVM-R,BBG000C7T9S9
KSV4X1-R,BBG000K0YMW5
XKTZWR-R,BBG000BL79J3
JCPT0R-R,BBG000LD9JQ8
TZ93SH-R,BBG000BKPBJ0
JDVJ48-R,BBG000BDRQL8
HN01T9-R,BBG000BF2KK4
PY5KHK-R,BBG000BF0K17
PN6Y00-R,BBG000BP6LJ8
WRVQ53-R,BBG000C1TTV4
FDS65G-R,BBG000G21D70
WPKF66-R,BBG000BCWCG1
B97MP0-R,BBG000B9Z0J8
X47RHF-R,BBG000CLVM51
MMN39J-R,BBG000FM4278
G4GB6B-R,BBG000BV4DR6
MKC1SV-R,BBG000BW8S60
QP00SH-R,BBG000BFC875
W6SYPW-R,BBG000K14Q84
VDPDV7-R,BBG000CN3S73
L8SKLT-R,BBG000DQLV23
KB791X-R,BBG000BCTQ65
MPXJMM-R,BBG000BH4R78
THB4X2-R,BBG000FRVHB9
M515GG-R,BBG000BK38M7
S277X8-R,BBG000BSH5L2
KSWML9-R,BBG000BL9JQ1
J994MP-R,BBG000H8TVT2
JPTF52-R,BBG000BMKDM3
X2WPD2-R,BBG000BHY8Q6
P9ZMV7-R,BBG000CPHYL4
MTGRW2-R,BBG00CVQZQ96
X0RZZ9-R,BBG000CXXCX4
N4JMNR-R,BBG000BQB7D7
R5RD6T-R,BBG000BKLH74
PX3T0T-R,BBG000BWHVM5
PKZ3VH-R,BBG000DQX1D4
RQ9F5S-R,BBG0077VNXV6
S7P87W-R,BBG000BBL8V7
TWXW2R-R,BBG000P5JLK1
LKVW3T-R,BBG000BRZBT3
QMQV1Q-R,BBG000C8H633
K24Q4R-R,BBG000BGLRN3
X8L2PH-R,BBG000DY28W5
NNNM7Z-R,BBG000BQF887
SHNSB5-R,BBG000C3L4T6
SJX192-R,BBG000BT9T73
GX5LJC-R,BBG000BYYLS8
TY1WWM-R,BBG000DN7P92
QCS6P8-R,BBG000F0PF65
V05L58-R,BBG000C0HQ54
FNQFTK-R,BBG000DXJKZ9
VZZC49-R,BBG000FM3ZB1
VS8MZC-R,BBG000BW13Q0
MMRZQ5-R,BBG000BP8Z50
R6WVW3-R,BBG000BFC8J2
KB6ZLR-R,BBG000FBNH96
BT4P4V-R,BBG000TJM7F0
QMZHNX-R,BBG000BWXMV7
T7CGDK-R,BBG000BBCQD7
BM9QXX-R,BBG000DKCC19
FPVVBS-R,BBG000BL9439
JYRG0L-R,BBG006G063F9
M8867B-R,BBG007TJF1N7
FS2TXJ-R,BBG000BG2MS0
