,Declared Date,Dividend Amount,Dividend Frequency,Dividend Type,Ex-Date,Payable Date,Record Date,security
0,2019-11-08,0.34,Quarter,Regular Cash,2019-12-23,2019-12-31,2019-12-24,/bbgid/BBG000R3NQ37
0,2019-10-24,0.35,Quarter,Regular Cash,2019-12-12,2019-12-27,2019-12-13,/bbgid/BBG000BK2F42
0,2019-10-30,0.22,Quarter,Regular Cash,2019-12-19,2020-01-02,2019-12-20,/bbgid/BBG000DVHX23
0,2019-11-22,0.04,None,Special Cash,2019-12-06,2019-12-23,2019-12-09,/bbgid/BBG000BXNHY4
0,2019-10-29,0.13,Quarter,Regular Cash,2019-12-12,2020-01-10,2019-12-13,/bbgid/BBG000M65CM5
0,2019-12-04,0.0075,Quarter,Regular Cash,2019-12-24,2020-01-10,2019-12-27,/bbgid/BBG000C5HSJ4
0,2019-12-05,0.16,Quarter,Regular Cash,2019-12-30,2020-01-15,2019-12-31,/bbgid/BBG004PW84G9
0,2019-11-27,0.09,Quarter,Regular Cash,2019-12-13,2019-12-30,2019-12-16,/bbgid/BBG000C01N85
0,2019-12-02,0.16,Quarter,Regular Cash,2019-12-12,2019-12-31,2019-12-13,/bbgid/BBG000FPK736
0,2019-11-21,0.35,Quarter,Regular Cash,2019-12-13,2019-12-27,2019-12-16,/bbgid/BBG000BW22R0
0,2019-11-14,0.5,Quarter,Regular Cash,2020-01-02,2020-01-21,2020-01-03,/bbgid/BBG000BWNFZ9
0,2019-10-01,0.19,Monthly,Regular Cash,2019-12-20,2019-12-31,2019-12-23,/bbgid/BBG000BGCCC8
0,2019-11-14,0.06,Quarter,Regular Cash,2019-12-19,2020-01-02,2019-12-20,/bbgid/BBG000BYZSM8
0,2019-10-24,1.9,Quarter,Regular Cash,2019-12-13,2020-01-02,2019-12-16,/bbgid/BBG000BJ5SS8
0,2019-11-20,0.27,Quarter,Regular Cash,2019-12-05,2019-12-20,2019-12-06,/bbgid/BBG000BG8NR3
0,2019-11-29,0.08,Monthly,Regular Cash,2019-12-13,2019-12-31,2019-12-16,/bbgid/BBG000G1JDF4
0,2019-11-18,0.115,Monthly,Regular Cash,2019-12-30,2020-01-15,2019-12-31,/bbgid/BBG000BGHJ83
0,2019-12-04,0.2875,Quarter,Regular Cash,2019-12-13,2019-12-31,2019-12-16,/bbgid/BBG000BL7VL1
0,2019-10-18,0.27,Quarter,Regular Cash,2019-12-16,2019-12-31,2019-12-17,/bbgid/BBG000BG7L34
0,2019-11-06,0.0241,Monthly,Regular Cash,2019-12-13,2019-12-30,2019-12-16,/bbgid/BBG00CTRXMN2
0,2019-11-20,0.18,Quarter,Regular Cash,2019-12-30,2020-01-22,2019-12-31,/bbgid/BBG000C2V3D6
0,2019-11-20,0.095,Quarter,Regular Cash,2019-12-12,2019-12-31,2019-12-13,/bbgid/BBG000TKZRB3
0,2019-11-27,0.1,Quarter,Regular Cash,2019-12-24,2020-01-10,2019-12-27,/bbgid/BBG004G493C6
0,2019-12-02,0.01,Monthly,Regular Cash,2019-12-13,2019-12-31,2019-12-16,/bbgid/BBG000KF9JY5
0,2019-11-07,0.141,Quarter,Regular Cash,2019-12-30,2020-01-15,2019-12-31,/bbgid/BBG000BLZFL5
0,2019-11-07,0.2,Quarter,Regular Cash,2019-12-12,2020-01-07,2019-12-13,/bbgid/BBG000BGZ832
0,2019-10-30,0.475,Quarter,Regular Cash,2019-12-30,2020-01-30,2019-12-31,/bbgid/BBG000RKXRQ1
0,2019-11-21,0.08,Quarter,Regular Cash,2019-12-12,2019-12-27,2019-12-13,/bbgid/BBG000K0KW21
0,2019-10-30,0.29,Quarter,Regular Cash,2019-12-30,2020-01-15,2019-12-31,/bbgid/BBG000M62MY3
0,2019-11-04,0.44,Quarter,Regular Cash,2019-12-30,2020-01-14,2019-12-31,/bbgid/BBG000BXRPH1
0,2019-11-19,0.525,Quarter,Regular Cash,2019-12-12,2020-01-01,2019-12-15,/bbgid/BBG000BD1VR9
0,2019-12-03,0.175,Quarter,Regular Cash,2020-01-09,2020-02-12,2020-01-10,/bbgid/BBG000BDW011
0,2019-10-31,0.32,Quarter,Regular Cash,2019-12-16,2019-12-31,2019-12-17,/bbgid/BBG0068KVV91
0,2019-12-02,0.085,Quarter,Regular Cash,2019-12-31,2020-01-31,2020-01-02,/bbgid/BBG000K8PTB6
0,2019-11-04,0.06,Quarter,Regular Cash,2019-12-30,2020-01-15,2019-12-31,/bbgid/BBG000BBLPH5
0,2019-11-01,0.5625,Quarter,Regular Cash,2019-12-30,2020-01-31,2019-12-31,/bbgid/BBG000BZ6FG2
0,2019-12-05,0.7,Quarter,Regular Cash,2019-12-31,2020-01-15,2020-01-02,/bbgid/BBG000BVJ702
0,2019-11-25,0.175,Quarter,Regular Cash,2020-01-14,2020-02-01,2020-01-15,/bbgid/BBG000BMCQY0
0,2019-11-01,0.13,Quarter,Regular Cash,2019-12-05,2019-12-20,2019-12-06,/bbgid/BBG006NBCCW1
0,2019-11-14,0.05,Quarter,Regular Cash,2019-12-05,2019-12-20,2019-12-06,/bbgid/BBG000BJX8C8
0,2019-11-05,0.375,Quarter,Regular Cash,2019-12-30,2020-01-15,2019-12-31,/bbgid/BBG000P4R174
0,2019-12-04,0.075,Quarter,Regular Cash,2019-12-12,2019-12-27,2019-12-13,/bbgid/BBG000BN7SF1
0,2019-10-29,0.3125,Quarter,Regular Cash,2019-12-16,2019-12-31,2019-12-17,/bbgid/BBG0077Q6QJ5
0,2019-11-13,0.0925,Quarter,Regular Cash,2019-12-30,2020-01-21,2019-12-31,/bbgid/BBG000BCY0G5
0,2019-11-07,0.2415,Quarter,Regular Cash,2019-12-10,2019-12-31,2019-12-11,/bbgid/BBG00B0VKL16
0,2019-11-18,0.7625,Quarter,Regular Cash,2019-12-05,2020-01-02,2019-12-06,/bbgid/BBG000BKL348
0,2019-11-14,0.1762,Quarter,Regular Cash,2019-12-10,2020-01-02,2019-12-11,/bbgid/BBG000KHWT55
0,2019-12-05,0.74,Quarter,Regular Cash,2020-01-09,2020-01-31,2020-01-10,/bbgid/BBG000BCRMB0
0,2019-12-04,0.0125,Monthly,Regular Cash,2019-12-13,2019-12-31,2019-12-16,/bbgid/BBG001XX9KM0
0,2019-12-02,0.02,Quarter,Regular Cash,2019-12-12,2019-12-30,2019-12-13,/bbgid/BBG000FVXD63
0,2019-10-24,0.55,Quarter,Regular Cash,2019-12-30,2020-01-31,2019-12-31,/bbgid/BBG000BLKK03
0,2019-11-14,0.65,Quarter,Regular Cash,2019-12-05,2019-12-20,2019-12-06,/bbgid/BBG000DNLMB0
0,2019-10-08,0.068,Monthly,Regular Cash,2019-12-18,2019-12-31,2019-12-19,/bbgid/BBG000C32KN7
0,2019-10-29,0.185,Quarter,Regular Cash,2019-12-30,2020-01-15,2019-12-31,/bbgid/BBG004MB82R0
0,2019-11-04,0.422,Quarter,Regular Cash,2019-12-30,2020-01-31,2019-12-31,/bbgid/BBG005BTJP24
