fsym_id,sector,industry_group,industry,sub_industry,sector_id,industry_group_id,industry_id,sub_industry_id
F2F3T4-R,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transporta,10,1010,101020,10102040
F3HW5T-R,Utilities,Utilities,Independent Power and Renewabl,Independent Power Producers &,55,5510,551050,55105010
F3NM78-R,Communication Services,Media & Entertainment,Media,Cable & Satellite,50,5020,502010,50201030
F5SQ99-R,Consumer Discretionary,Retailing,Multiline Retail,Department Stores,25,2550,255030,25503010
F72PJT-R,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,45,4530,453010,45301020
F82H8Q-R,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Equipment & Instrum,45,4520,452030,45203010
F96WSY-R,Energy,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,10,1010,101020,10102010
F96XVZ-R,Materials,Materials,Chemicals,Diversified Chemicals,15,1510,151010,15101020
F9VYPD-R,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &",45,4520,452020,45202030
FBB432-R,Information Technology,Software & Services,IT Services,Data Processing & Outsourced S,45,4510,451020,45102020
FBCHQC-R,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail,25,2550,255040,25504010
FCCHG2-R,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,10,1010,101020,10102030
FCHQXF-R,Materials,Materials,Metals & Mining,Gold,15,1510,151040,15104030
FCHV3J-R,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering,20,2010,201030,20103010
FCK6QT-R,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",25,2530,253010,25301020
FCPGVT-R,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,10,1010,101020,10102020
FDMH61-R,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,25,2530,253010,25301040
FDN05J-R,Financials,Banks,Banks,Regional Banks,40,4010,401010,40101015
FDQM4Z-R,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Facilities,35,3510,351020,35102020
FDS1XB-R,Real Estate,Real Estate,Equity Real Estate Investment,Retail REITs,60,6010,601010,60101070
FDS65G-R,Financials,Banks,Banks,Regional Banks,40,4010,401010,40101015
FFQNC3-R,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,35,3520,352010,35201010
FH1NKL-R,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding,25,2520,252010,25201030
FHZZH3-R,Financials,Insurance,Insurance,Property & Casualty Insurance,40,4030,403010,40301040
FJ1B1C-R,Financials,Insurance,Insurance,Insurance Brokers,40,4030,403010,40301010
FJ4J4C-R,Materials,Materials,Chemicals,Specialty Chemicals,15,1510,151010,15101050
FJ4NDH-R,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail,25,2550,255040,25504010
FLDWBD-R,Energy,Energy,Energy Equipment & Services,Oil & Gas Drilling,10,1010,101010,10101010
FLF3SM-R,Materials,Materials,Chemicals,Industrial Gases,15,1510,151010,15101040
FMDS8D-R,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics,20,2030,203010,20301010
FMGHK0-R,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,10,1010,101020,10102020
FPP2BC-R,Real Estate,Real Estate,Equity Real Estate Investment,Specialized REITs,60,6010,601010,60101080
FPP9SL-R,Consumer Discretionary,Retailing,Multiline Retail,Department Stores,25,2550,255030,25503010
FPPSQ1-R,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Consumer Electronics,25,2520,252010,25201010
FPTJVK-R,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,30,3020,302020,30202030
FPVHPG-R,Real Estate,Real Estate,Equity Real Estate Investment,Retail REITs,60,6010,601010,60101070
FPZT1N-R,Materials,Materials,Metals & Mining,Gold,15,1510,151040,15104030
FQJDL3-R,Communication Services,Media & Entertainment,Media,Publishing,50,5020,502010,50201040
FQTTHX-R,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,10,1010,101020,10102020
FQYW7Q-R,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services,35,3510,351020,35102015
FQZF97-R,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,20,2010,201050,20105010
FR4YZK-R,Industrials,Commercial & Professional Serv,Professional Services,Research & Consulting Services,20,2020,202020,20202020
FR5M42-R,Consumer Discretionary,Retailing,Multiline Retail,Department Stores,25,2550,255030,25503010
FS319Q-R,Financials,Insurance,Insurance,Property & Casualty Insurance,40,4030,403010,40301040
FS32CR-R,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo,20,2010,201070,20107010
FS46JT-R,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,35,3520,352010,35201010
FT7VMB-R,Utilities,Utilities,Gas Utilities,Gas Utilities,55,5510,551020,55102010
FT8DNV-R,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,20,2010,201050,20105010
FT8FQW-R,Communication Services,Telecommunication Services,Diversified Telecommunication,Integrated Telecommunication S,50,5010,501010,50101020
FV824M-R,Utilities,Utilities,Multi-Utilities,Multi-Utilities,55,5510,551030,55103010
FV85BQ-R,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,30,3020,302020,30202030
FV9XPC-R,Real Estate,Real Estate,Equity Real Estate Investment,Retail REITs,60,6010,601010,60101070
FVC51J-R,Materials,Materials,Paper & Forest Products,Forest Products,15,1510,151050,15105010
FVD6P4-R,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,35,3520,352020,35202010
FVDJNT-R,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Ban,40,4020,402030,40203010
FWHC5K-R,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services,35,3520,352030,35203010
