,fsym_id,exdate,bbg_id,in_index
32,CHKL7S-R,2020-10-20,BBG000BNDN65,1
33,CJVKH9-R,2020-11-03,BBG000BFS7D3,1
34,CN458N-R,2020-10-08,BBG000BMHNT8,0
35,CP8Q20-R,2020-10-29,BBG000BPRSW5,0
36,CRHPMR-R,2020-10-22,BBG000C221G9,1
37,CRNBH3-R,2020-01-30,BBG000BP63C5,0
38,CX6P1R-R,2020-12-30,BBG000PY5XQ1,1
39,CY644B-R,2020-10-29,BBG000BLZRJ2,1
40,CYBC69-R,2020-10-16,BBG000BLF8D2,1
41,D00LZG-R,2020-01-16,BBG0029SH078,0
42,D3VJNY-R,2020-01-30,BBG000BM3HK5,0
43,D3WHHV-R,2020-12-15,BBG000BS21R1,0
44,D4VRCD-R,2020-04-03,BBG001LFLZZ1,0
45,D54YRW-R,2020-10-08,BBG000BCRMB0,1
46,D68JQB-R,2020-10-15,BBG000GC0TZ3,0
47,D70L9L-R,2020-12-15,BBG000FV0NL0,0
48,D9JX1G-R,2020-09-15,BBG000BWS3F3,0
49,DBT2S7-R,2020-10-29,BBG000BPFCM4,0
50,DCV2T8-R,2020-10-06,BBG000BRF6K5,0
51,DF9PT2-R,2020-10-27,BBG000BD8PN9,1
52,DJC60R-R,2020-10-30,BBG000BDXGP9,1
53,DJHD0P-R,2020-10-14,BBG000BYMXV1,1
54,DKMPBT-R,2020-12-30,BBG000C88125,0
55,DKTB77-R,2020-10-29,BBG0015XMW40,0
56,DLRTBS-R,2020-12-30,BBG000BT1MR4,0
57,DLWPWK-R,2020-12-01,BBG000Q2BVH7,0
58,DMRL0N-R,2020-10-30,BBG000C14JY0,0
59,DMX4QY-R,2020-10-21,BBG000BC2C10,1
60,DSJKY6-R,2020-11-27,BBG000Q4LGF7,0
61,DTGV30-R,2020-10-23,BBG000BC6L61,0
62,DXTTDL-R,2020-12-30,BBG000HJ82S6,1
63,DXWB90-R,2020-09-30,BBG000CGM9H8,0
64,DYVDP8-R,2020-01-30,BBG004D379Q5,0
65,DYZJJ3-R,2020-10-22,BBG000C3V7C6,0
66,DZ1P4N-R,2020-01-31,BBG00FQH6MJ5,0
67,DZ4M6W-R,2020-11-05,BBG000JWS4F3,0
68,F03Z3C-R,2020-12-30,BBG000CVQ2M0,1
69,F1DNTM-R,2020-09-30,BBG000BS73J1,1
70,F86GWG-R,2020-10-08,BBG000BVHBM1,0
71,FBB432-R,2020-10-30,BBG000BQSQ38,1
72,FCHQXF-R,2009-01-26,BBG000BW1022,1
73,FCHV3J-R,2020-12-30,BBG000GFD3R8,1
74,FDQM4Z-R,2020-12-30,BBG000DLD469,1
75,FH1NKL-R,2020-10-15,BBG000BN5HF7,1
76,FJDB5V-R,2020-01-24,BBG001QYKF35,0
77,FLG3PK-R,2020-11-13,BBG000C706J6,0
78,FNKNQ2-R,2020-10-09,BBG000BQGLS5,0
79,FPNZ48-R,2020-10-08,BBG000BW93R1,0
80,FPVHPG-R,2020-11-27,BBG000BLKC01,1
81,FQZF97-R,2020-10-05,BBG000F1ZSN5,1
82,FRYXFV-R,2020-04-29,BBG000BR3012,0
83,FT8FQW-R,2020-10-08,BBG000HS77T5,1
84,FV9XPC-R,2020-12-30,BBG000HPX6W0,1
85,FWHC5K-R,2020-10-05,BBG000C2V3D6,1
86,FWJSXX-R,2020-10-16,BBG000BJ5HK0,1
