bm_id,fsym_id,bbg_id,cnt
SPTSX,FCHQXF-R,BBG011FJG0D6,1
SPTSX,HMWK40-R,BBG000BSKFP2,1
SPTSX,J998WT-R,BBG000PM84L3,1
SPTSX,JZGFGR-R,BBG0049FN2L5,1
SPTSX,W235P2-R,BBG000BH2VW3,1
SPTSX,TX0WZQ-R,BBG000BDSCP4,1
SPTSX,X42HGH-R,BBG000BX7818,1
SPTSX,WRTQ85-R,BBG000BQ5ZN1,1
SPTSX,NL8WMS-R,BBG000BYQVJ5,1
SPTSX,RFQX93-R,BBG000CWQ765,1
SPTSX,RH0GWC-R,BBG000TRN6Z1,2
SPTSX,R3MHJZ-R,BBG000GB1NC2,2
SPTSX,QVQ1DM-R,BBG000BCC284,2
SPTSX,QQ42ND-R,BBG000K1XDF3,2
SPTSX,R4SK9T-R,BBG000BXSQ97,2
SPTSX,R6XPFW-R,BBG000BCS9D6,2
SPTSX,S1ZZ0F-R,BBG000BY0R66,2
SPTSX,RWBV02-R,BBG000BK4N16,2
SPTSX,SKX4M8-R,BBG000BXF5W1,2
SPTSX,SQGTV7-R,BBG000BD1GP4,2
SPTSX,SRR5X5-R,BBG000BHGZT3,2
SPTSX,SYS0R0-R,BBG007PN0489,2
SPTSX,SZJK3L-R,BBG001QG2N64,2
SPTSX,T4259K-R,BBG000BC1X33,2
SPTSX,T43Q80-R,BBG000G9HTM6,2
SPTSX,T2XF84-R,BBG000BLTVN5,2
SPTSX,T2Z5LS-R,BBG000TSWM66,2
SPTSX,TGK8GS-R,BBG0020B54Q8,2
SPTSX,T8X2RS-R,BBG00JM9SL98,2
SPTSX,NK0V54-R,BBG000C7P7N2,2
SPTSX,NK4NFQ-R,BBG000BC6SL9,2
SPTSX,N5NG2F-R,BBG000PKZFB3,2
SPTSX,N829VP-R,BBG000BQG6Z0,2
SPTSX,NB5RP3-R,BBG000BXSFH2,2
SPTSX,NDGZHY-R,BBG000BZYZB2,2
SPTSX,NFLZ7S-R,BBG000BHWHV2,2
SPTSX,MR5BN1-R,BBG000BFK1R9,2
SPTSX,N03DYZ-R,BBG000DQ7170,2
SPTSX,N17TH6-R,BBG000BYTHG6,2
