,fsym_id,exdate,bbg_id,in_index,listing_currency
370,KDCD3Y-R,2021-02-04,BBG000BQ5DS5,1,USD
371,KDJGTQ-R,2021-04-29,BBG000G1JDF4,0,CAD
372,KFHRL4-R,2021-02-09,BBG000BQ5GY1,0,USD
373,KFJFWS-R,2021-01-13,BBG000C1HN22,1,USD
374,KFMHQN-R,2020-02-06,BBG000BHBGN6,0,USD
375,KFMMZS-R,2021-02-25,BBG000FKJRC5,1,USD
376,KGN65D-R,2021-02-11,BBG000BBH3V3,0,USD
377,KGN9CH-R,2021-02-03,BBG000F13373,0,USD
378,KGT6R3-R,2021-02-09,BBG000BB0WY4,0,USD
379,KHRZJ1-R,2021-02-11,BBG000D61MB9,0,USD
380,KHSZDZ-R,2021-03-04,BBG000CL1FG7,0,USD
381,KHT2M2-R,2021-02-25,BBG000BPBVW5,0,USD
382,KHY18X-R,2021-02-11,BBG000C4V9L0,0,USD
383,KLCSS0-R,2021-04-14,BBG001LV74X3,0,USD
384,KM5Q58-R,2021-02-11,BBG000BSLZY7,1,USD
385,KM7YFC-R,2021-02-01,BBG000QT29D1,0,USD
386,KM84B2-R,2020-02-05,BBG00R02H8D5,0,USD
387,KMBSW1-R,2021-02-09,BBG000BKV445,0,USD
388,KNGXW0-R,2021-02-08,BBG000F61H73,0,USD
389,KNKY8H-R,2021-03-09,BBG00J24S765,0,USD
390,KPFMHW-R,2021-02-19,BBG000L9CV04,1,USD
391,KPG3FB-R,2021-02-05,BBG000CJXHL7,0,USD
392,KPGRNY-R,2021-02-25,BBG000BDGHL0,0,USD
393,KPM764-R,2021-02-11,BBG000MZ6CM0,0,USD
394,KQ5JBJ-R,2021-02-10,BBG003981NS4,0,USD
395,KQQHK9-R,2021-02-22,BBG000BCPFB7,0,USD
396,KQQJMB-R,2021-03-11,BBG000CSRSG6,0,USD
397,KRVRTD-R,2021-02-10,BBG000BX1C88,0,USD
398,KV0J41-R,2021-02-22,BBG000BMHYD1,1,USD
399,KV54ZD-R,2020-05-18,BBG000CBVGR2,0,USD
400,KW432H-R,2021-03-05,BBG000BMH2Q7,1,USD
401,KWCPPR-R,2015-03-02,BBG000QCHMH9,0,USD
402,KXCJCK-R,2021-04-29,BBG000QTCPR9,0,CAD
403,KXDMGL-R,2021-03-23,BBG0113JGQF0,1,USD
404,KYCY91-R,2021-03-11,BBG000BLGFJ9,1,USD
405,KYF7S8-R,2021-02-04,BBG000BNCR58,0,USD
406,KZJPGL-R,2021-02-03,BBG000BJGGV8,0,USD
407,KZW5VT-R,2021-02-25,BBG00W5FR6C4,0,CAD
408,L0NDP5-R,2021-02-25,BBG000DPZC04,1,CAD
409,L1TLQ4-R,2021-02-18,BBG000BWXJT7,0,USD
